#name, A, B, C, D, E, F
NODE_1664, 1.3481061285263782e-08, 0.99999995363106, 1.869161639302503e-08, 8.332514315413674e-09, 2.0013599465000257e-09, 3.862388028653885e-09
GCA_033111695.1, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
NODE_1663, 1.3481061285263782e-08, 0.99999995363106, 1.869161639302503e-08, 8.332514315413674e-09, 2.0013599465000257e-09, 3.862388028653885e-09
GCA_022262175.1, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
NODE_1662, 1.3481061285263062e-08, 0.99999995363106, 1.869161639302331e-08, 8.33251431541348e-09, 2.001359946500015e-09, 3.8623880286538505e-09
GCA_022262655.1, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
NODE_1661, 1.3481061284951536e-08, 0.99999995363106, 1.869161639232807e-08, 8.332514315314503e-09, 2.0013599464941106e-09, 3.8623880286306745e-09
GCA_022262775.1, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
NODE_1660, 1.3481061142803339e-08, 0.9999999536310606, 1.8691616110788028e-08, 8.332514262134398e-09, 2.0013599422658573e-09, 3.862388014137599e-09
GCA_022262195.1, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
NODE_1659, 1.3480996306633089e-08, 0.9999999536312805, 1.8691502139875768e-08, 8.332485636572847e-09, 2.0013567472827894e-09, 3.862378796308173e-09
GCA_022262575.1, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
